PassengerId,Survived
892,0.0
893,0.0
894,0.4
895,0.3
896,0.6
897,0.6
898,0.1
899,0.4
900,0.4
901,0.3
902,0.0
903,0.8
904,0.9
905,0.0
906,1.0
907,0.1
908,0.2
909,0.3
910,0.0
911,0.0
912,1.0
913,0.5
914,0.4
915,0.9
916,0.9
917,0.1
918,0.9
919,0.2
920,0.7
921,0.1
922,0.0
923,0.4
924,0.0
925,0.0
926,0.9
927,0.4
928,0.0
929,0.0
930,0.0
931,0.3
932,0.3
933,0.5
934,0.0
935,0.1
936,1.0
937,0.0
938,0.8
939,0.1
940,1.0
941,0.4
942,0.8
943,0.1
944,0.7
945,0.8
946,0.1
947,0.0
948,0.0
949,0.0
950,0.1
951,1.0
952,0.0
953,0.2
954,0.0
955,0.1
956,1.0
957,0.1
958,0.0
959,0.5
960,0.4
961,0.6
962,0.1
963,0.0
964,0.0
965,0.5
966,1.0
967,0.9
968,0.0
969,1.0
970,0.1
971,0.1
972,0.9
973,0.6
974,0.9
975,0.0
976,0.1
977,0.2
978,0.0
979,0.0
980,0.1
981,1.0
982,0.2
983,0.1
984,0.8
985,0.0
986,0.9
987,0.0
988,0.7
989,0.0
990,0.0
991,0.0
992,1.0
993,0.5
994,0.1
995,0.0
996,0.2
997,0.1
998,0.0
999,0.1
1000,0.1
1001,0.0
1002,0.7
1003,0.1
1004,0.5
1005,0.4
1006,0.7
1007,0.7
1008,0.0
1009,1.0
1010,0.6
1011,0.5
1012,0.0
1013,0.1
1014,0.9
1015,0.1
1016,0.1
1017,0.5
1018,0.1
1019,0.1
1020,0.8
1021,0.1
1022,0.0
1023,0.8
1024,0.2
1025,0.0
1026,0.0
1027,0.1
1028,0.0
1029,0.0
1030,0.1
1031,0.2
1032,0.0
1033,0.8
1034,0.6
1035,0.1
1036,0.9
1037,0.5
1038,0.1
1039,0.0
1040,0.5
1041,0.5
1042,0.9
1043,0.0
1044,0.2
1045,0.5
1046,0.1
1047,0.1
1048,0.9
1049,0.1
1050,0.9
1051,0.6
1052,0.1
1053,0.6
1054,0.1
1055,0.0
1056,0.8
1057,0.1
1058,0.4
1059,0.2
1060,0.5
1061,0.0
1062,0.0
1063,0.1
1064,0.2
1065,0.0
1066,0.0
1067,0.6
1068,0.1
1069,1.0
1070,0.3
1071,0.7
1072,0.1
1073,1.0
1074,0.4
1075,0.1
1076,0.9
1077,0.4
1078,1.0
1079,0.1
1080,0.0
1081,0.4
1082,0.4
1083,0.4
1084,0.2
1085,0.4
1086,0.9
1087,0.0
1088,1.0
1089,0.0
1090,0.0
1091,0.0
1092,0.1
1093,1.0
1094,0.9
1095,0.7
1096,0.0
1097,0.4
1098,0.0
1099,0.0
1100,0.4
1101,0.0
1102,0.2
1103,0.0
1104,0.0
1105,0.1
1106,0.4
1107,0.5
1108,0.0
1109,0.9
1110,0.9
1111,0.0
1112,0.8
1113,0.0
1114,0.0
1115,0.0
1116,0.8
1117,0.5
1118,0.1
1119,0.1
1120,0.1
1121,0.2
1122,0.1
1123,0.9
1124,0.1
1125,0.0
1126,0.7
1127,0.0
1128,0.9
1129,0.5
1130,0.3
1131,0.9
1132,0.8
1133,0.7
1134,0.8
1135,0.0
1136,0.0
1137,1.0
1138,0.0
1139,0.5
1140,0.5
1141,0.2
1142,0.9
1143,0.0
1144,1.0
1145,0.1
1146,0.1
1147,0.0
1148,0.1
1149,0.0
1150,0.0
1151,0.0
1152,0.1
1153,0.0
1154,1.0
1155,1.0
1156,0.1
1157,0.0
1158,0.1
1159,0.0
1160,0.0
1161,0.0
1162,0.4
1163,0.1
1164,1.0
1165,0.2
1166,0.0
1167,0.1
1168,0.0
1169,0.2
1170,0.8
1171,0.0
1172,0.3
1173,1.0
1174,0.1
1175,0.0
1176,1.0
1177,0.0
1178,0.0
1179,0.8
1180,0.0
1181,0.0
1182,0.2
1183,0.0
1184,0.0
1185,1.0
1186,0.0
1187,0.0
1188,0.9
1189,0.1
1190,0.2
1191,0.0
1192,0.0
1193,0.1
1194,0.9
1195,0.3
1196,0.1
1197,0.5
1198,0.7
1199,1.0
1200,1.0
1201,0.0
1202,0.0
1203,0.2
1204,0.0
1205,0.0
1206,1.0
1207,0.0
1208,0.7
1209,0.0
1210,0.0
1211,0.4
1212,0.0
1213,0.0
1214,0.0
1215,0.5
1216,1.0
1217,0.2
1218,0.5
1219,0.3
1220,0.5
1221,0.0
1222,0.5
1223,0.6
1224,0.0
1225,0.6
1226,0.0
1227,0.3
1228,0.2
1229,0.3
1230,0.3
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.9
1236,0.3
1237,0.2
1238,0.0
1239,0.0
1240,0.0
1241,0.1
1242,0.8
1243,0.0
1244,0.0
1245,1.0
1246,1.0
1247,0.9
1248,0.9
1249,0.0
1250,0.1
1251,0.2
1252,0.0
1253,0.1
1254,0.1
1255,0.3
1256,0.7
1257,0.0
1258,0.2
1259,0.2
1260,0.9
1261,0.1
1262,0.0
1263,0.8
1264,0.3
1265,0.7
1266,1.0
1267,0.8
1268,0.1
1269,0.0
1270,0.7
1271,0.2
1272,0.1
1273,0.0
1274,0.1
1275,0.6
1276,0.1
1277,0.9
1278,0.1
1279,0.2
1280,0.0
1281,0.3
1282,0.9
1283,1.0
1284,0.4
1285,0.4
1286,0.1
1287,0.7
1288,0.1
1289,0.9
1290,0.1
1291,0.0
1292,0.8
1293,0.5
1294,0.9
1295,0.9
1296,1.0
1297,0.0
1298,0.0
1299,0.9
1300,0.1
1301,1.0
1302,0.1
1303,0.8
1304,0.0
1305,0.0
1306,0.8
1307,0.0
1308,0.0
1309,0.0
